"Date","Price","Open","High","Low","Vol.","Change %"
"08-03-2022","226.90","223.90","228.45","223.75","36.04M","0.87%"
"07-03-2022","224.95","222.00","227.00","220.10","45.26M","-0.24%"
"04-03-2022","225.50","217.70","227.40","217.00","66.84M","2.78%"
"03-03-2022","219.40","216.05","220.20","216.00","28.53M","1.90%"
"02-03-2022","215.30","214.40","216.60","212.45","19.30M","-0.25%"
"28-02-2022","215.85","213.20","216.45","210.80","20.03M","0.89%"
"25-02-2022","213.95","211.50","216.50","210.55","23.63M","2.61%"
"24-02-2022","208.50","210.00","213.30","207.00","41.34M","-3.45%"
"23-02-2022","215.95","216.80","217.50","215.05","11.01M","0.51%"
"22-02-2022","214.85","215.00","216.90","213.00","25.75M","-1.44%"
"21-02-2022","218.00","220.30","221.30","217.15","16.13M","-1.76%"
"18-02-2022","221.90","222.65","223.45","221.50","8.67M","-0.34%"
"17-02-2022","222.65","223.05","224.35","220.85","14.02M","-0.04%"
"16-02-2022","222.75","223.80","224.70","221.85","11.23M","-0.11%"
"15-02-2022","223.00","221.00","223.50","218.55","12.88M","1.62%"
"14-02-2022","219.45","226.00","226.00","218.50","22.75M","-5.59%"
"11-02-2022","232.45","232.00","233.30","229.80","18.10M","0.09%"
"10-02-2022","232.25","228.70","233.40","227.75","19.56M","0.91%"
"09-02-2022","230.15","232.30","233.00","228.75","11.89M","-0.48%"
"08-02-2022","231.25","230.30","232.30","229.05","16.20M","0.46%"
"07-02-2022","230.20","234.00","234.75","228.50","24.17M","-1.75%"
"04-02-2022","234.30","237.25","238.50","231.55","56.71M","-0.06%"
"03-02-2022","234.45","232.15","235.20","231.80","27.85M","0.99%"
"02-02-2022","232.15","230.00","233.30","229.00","41.13M","1.93%"
"01-02-2022","227.75","221.00","228.80","219.15","43.21M","3.43%"
"31-01-2022","220.20","218.50","220.75","217.10","15.04M","1.19%"
"28-01-2022","217.60","215.10","219.25","215.10","15.28M","1.40%"
"27-01-2022","214.60","211.25","215.50","211.10","23.15M","0.14%"
"25-01-2022","214.30","212.00","214.70","209.55","18.32M","1.18%"
"24-01-2022","211.80","217.05","217.75","210.90","17.35M","-2.42%"
"21-01-2022","217.05","218.50","220.50","216.00","16.59M","-0.78%"
"20-01-2022","218.75","220.55","222.15","218.00","17.33M","-0.73%"
"19-01-2022","220.35","220.75","222.40","218.70","11.47M","-0.18%"
"18-01-2022","220.75","224.60","227.30","220.30","14.39M","-1.71%"
"17-01-2022","224.60","222.60","225.60","221.35","12.32M","0.90%"
"14-01-2022","222.60","223.95","224.80","222.30","10.57M","-0.60%"
"13-01-2022","223.95","223.90","225.80","222.75","11.50M","0.54%"
"12-01-2022","222.75","222.50","223.65","221.60","13.16M","0.36%"
"11-01-2022","221.95","223.35","224.25","221.20","8.02M","-0.60%"
"10-01-2022","223.30","219.90","224.70","218.90","15.84M","2.24%"
"07-01-2022","218.40","219.80","220.65","217.50","8.86M","-0.14%"
"06-01-2022","218.70","219.00","220.40","218.20","8.95M","-0.84%"
"05-01-2022","220.55","219.65","221.50","218.65","11.23M","0.14%"
"04-01-2022","220.25","219.50","221.70","219.05","9.05M","0.52%"
"03-01-2022","219.10","218.05","219.85","217.05","7.77M","0.48%"
"31-12-2021","218.05","216.90","218.80","216.15","7.58M","0.95%"
"30-12-2021","216.00","216.60","217.90","215.50","9.74M","-0.35%"
"29-12-2021","216.75","220.00","220.30","216.30","11.48M","-1.50%"
"28-12-2021","220.05","218.00","220.60","218.00","11.57M","1.15%"
"27-12-2021","217.55","218.40","218.45","215.65","8.15M","-0.21%"
"24-12-2021","218.00","218.00","220.45","216.45","16.58M","0.32%"
"23-12-2021","217.30","213.90","218.45","213.20","22.21M","2.50%"
"22-12-2021","212.00","214.00","214.20","211.10","17.24M","-0.24%"
"21-12-2021","212.50","214.00","215.45","211.05","19.40M","0.05%"
"20-12-2021","212.40","216.25","216.25","209.80","37.34M","-2.55%"
"17-12-2021","217.95","222.80","222.85","216.75","29.68M","-2.22%"
"16-12-2021","222.90","226.00","226.15","220.80","24.20M","-0.51%"
"15-12-2021","224.05","230.00","232.20","223.40","34.65M","-1.99%"
"14-12-2021","228.60","235.00","237.10","227.55","37.51M","-2.56%"
"13-12-2021","234.60","238.00","238.75","234.15","22.05M","-0.64%"
